,number,value,datetime_start,datetime_complete,duration,params_boosting_type,params_lr,params_n_estimators,params_n_voters,state
0,0,0.8725777575097329,2024-05-30 21:55:14.335406,2024-05-30 21:56:15.336186,0 days 00:01:01.000780,gbdt,0.0005283403694932865,180,9,COMPLETE
1,1,0.8469230574345722,2024-05-30 21:56:15.337417,2024-05-30 21:56:54.305794,0 days 00:00:38.968377,gbdt,0.00014156710223884282,170,6,COMPLETE
2,2,0.8714288127148202,2024-05-30 21:56:54.306783,2024-05-30 21:57:31.325869,0 days 00:00:37.019086,dart,0.00027986437409708355,60,20,COMPLETE
3,3,0.8443338146993995,2024-05-30 21:57:31.326747,2024-05-30 21:58:17.132600,0 days 00:00:45.805853,dart,0.003398291419044137,190,7,COMPLETE
4,4,0.8440357055390878,2024-05-30 21:58:17.133803,2024-05-30 21:58:39.566261,0 days 00:00:22.432458,dart,0.0006904496190972354,80,7,COMPLETE
5,5,0.6622402101120655,2024-05-30 21:58:39.567117,2024-05-30 21:58:59.853655,0 days 00:00:20.286538,dart,0.0009906924854345142,80,1,COMPLETE
6,6,0.8503926933698158,2024-05-30 21:58:59.854824,2024-05-30 21:59:45.853334,0 days 00:00:45.998510,dart,0.0003907564525499542,170,8,COMPLETE
7,7,0.867946509251518,2024-05-30 21:59:45.854502,2024-05-30 22:00:41.071596,0 days 00:00:55.217094,dart,0.00041456517959784553,170,11,COMPLETE
8,8,0.8839033720959693,2024-05-30 22:00:41.072454,2024-05-30 22:01:28.893950,0 days 00:00:47.821496,gbdt,0.0025451521809026567,110,14,COMPLETE
9,9,0.8730354775235827,2024-05-30 22:01:28.895456,2024-05-30 22:02:22.826843,0 days 00:00:53.931387,dart,0.0076951909661060955,140,13,COMPLETE
10,10,0.8869993159534848,2024-05-30 22:02:22.827712,2024-05-30 22:03:21.902858,0 days 00:00:59.075146,gbdt,0.002512374496246588,120,17,COMPLETE
11,11,0.8869993159534848,2024-05-30 22:03:21.904102,2024-05-30 22:04:19.975444,0 days 00:00:58.071342,gbdt,0.0023151742303445994,120,17,COMPLETE
12,12,0.8851574573737682,2024-05-30 22:04:19.976373,2024-05-30 22:05:25.993326,0 days 00:01:06.016953,gbdt,0.0021816810744198,130,19,COMPLETE
13,13,0.8849307086215196,2024-05-30 22:05:25.994582,2024-05-30 22:06:20.385346,0 days 00:00:54.390764,gbdt,0.0056681774576332,110,17,COMPLETE
14,14,0.8864744580409245,2024-05-30 22:06:20.386582,2024-05-30 22:07:23.260819,0 days 00:01:02.874237,gbdt,0.0014226266534753237,140,16,COMPLETE
15,15,0.8849307086215196,2024-05-30 22:07:23.262184,2024-05-30 22:08:17.765156,0 days 00:00:54.502972,gbdt,0.004444653539686869,110,17,COMPLETE
16,16,0.8857228513761158,2024-05-30 22:08:17.766434,2024-05-30 22:09:16.999269,0 days 00:00:59.232835,gbdt,0.0013261720973190892,150,14,COMPLETE
17,17,0.8761229763623927,2024-05-30 22:09:17.000156,2024-05-30 22:09:52.657740,0 days 00:00:35.657584,gbdt,0.001984714998764654,90,12,COMPLETE
18,18,0.8838362341972588,2024-05-30 22:09:52.658936,2024-05-30 22:10:23.494327,0 days 00:00:30.835391,gbdt,0.008842239138890482,50,18,COMPLETE
19,19,0.8881427714862389,2024-05-30 22:10:23.495626,2024-05-30 22:11:06.905715,0 days 00:00:43.410089,gbdt,0.0033238289795219597,100,15,COMPLETE
20,20,0.8881427714862389,2024-05-30 22:11:06.906913,2024-05-30 22:11:51.412785,0 days 00:00:44.505872,gbdt,0.004318215241390054,100,15,COMPLETE
21,21,0.8872708233048736,2024-05-30 22:11:51.414029,2024-05-30 22:12:33.770444,0 days 00:00:42.356415,gbdt,0.004226675581955564,90,15,COMPLETE
22,22,0.8872708233048736,2024-05-30 22:12:33.771655,2024-05-30 22:13:13.419698,0 days 00:00:39.648043,gbdt,0.004871960483223617,90,15,COMPLETE
23,23,0.8725819800190857,2024-05-30 22:13:13.420576,2024-05-30 22:13:42.044439,0 days 00:00:28.623863,gbdt,0.0063048071893634155,70,11,COMPLETE
24,24,0.8881427714862389,2024-05-30 22:13:42.045696,2024-05-30 22:14:26.831575,0 days 00:00:44.785879,gbdt,0.003994711212930241,100,15,COMPLETE
25,25,0.880237811726753,2024-05-30 22:14:26.832817,2024-05-30 22:15:08.369752,0 days 00:00:41.536935,gbdt,0.003573718936326496,100,13,COMPLETE
26,26,0.888324761639347,2024-05-30 22:15:08.371116,2024-05-30 22:16:02.200853,0 days 00:00:53.829737,gbdt,0.0014991586485202525,100,20,COMPLETE
27,27,0.8852596421001072,2024-05-30 22:16:02.202137,2024-05-30 22:16:42.598336,0 days 00:00:40.396199,gbdt,0.0013252427820160514,70,20,COMPLETE
28,28,0.8851574573737682,2024-05-30 22:16:42.599388,2024-05-30 22:17:46.331986,0 days 00:01:03.732598,gbdt,0.0008179710756225676,130,19,COMPLETE
29,29,0.8680668507680744,2024-05-30 22:17:46.332886,2024-05-30 22:18:22.459571,0 days 00:00:36.126685,gbdt,0.0016701614526133156,100,9,COMPLETE
30,30,0.6837758523135129,2024-05-30 22:18:22.461083,2024-05-30 22:18:56.410922,0 days 00:00:33.949839,gbdt,0.0028909109195695845,150,1,COMPLETE
31,31,0.8881427714862389,2024-05-30 22:18:56.412190,2024-05-30 22:19:41.656267,0 days 00:00:45.244077,gbdt,0.006459914936816947,100,15,COMPLETE
32,32,0.8022016163765803,2024-05-30 22:19:41.657608,2024-05-30 22:19:59.717328,0 days 00:00:18.059720,gbdt,0.00981124598339283,80,4,COMPLETE
33,33,0.8778136691072771,2024-05-30 22:19:59.718457,2024-05-30 22:20:38.348836,0 days 00:00:38.630379,gbdt,0.0031950077481456346,110,10,COMPLETE
34,34,0.8868523726280053,2024-05-30 22:20:38.350093,2024-05-30 22:21:31.093157,0 days 00:00:52.743064,gbdt,0.0001499554402282393,100,19,COMPLETE
35,35,0.8803623757526623,2024-05-30 22:21:31.094073,2024-05-30 22:22:00.808443,0 days 00:00:29.714370,gbdt,0.0017527082119944625,70,13,COMPLETE
36,36,0.8834093385016848,2024-05-30 22:22:00.809325,2024-05-30 22:22:45.577393,0 days 00:00:44.768068,gbdt,0.003318543758450293,90,16,COMPLETE
37,37,0.8714288127148202,2024-05-30 22:22:45.578320,2024-05-30 22:23:21.397922,0 days 00:00:35.819602,dart,0.00465817999387426,60,20,COMPLETE
38,38,0.8200269396096713,2024-05-30 22:23:21.399175,2024-05-30 22:23:48.011885,0 days 00:00:26.612710,dart,0.0010059832338606706,120,5,COMPLETE
39,39,0.8836500215347978,2024-05-30 22:23:48.012804,2024-05-30 22:24:57.260522,0 days 00:01:09.247718,gbdt,0.0005634532753550868,190,12,COMPLETE
40,40,0.8773812841495444,2024-05-30 22:24:57.261776,2024-05-30 22:25:38.350925,0 days 00:00:41.089149,dart,0.00021765247579440532,80,18,COMPLETE
41,41,0.8881427714862389,2024-05-30 22:25:38.351871,2024-05-30 22:26:23.354962,0 days 00:00:45.003091,gbdt,0.007180396253099883,100,15,COMPLETE
42,42,0.8839033720959693,2024-05-30 22:26:23.355831,2024-05-30 22:27:07.529622,0 days 00:00:44.173791,gbdt,0.006600814783480831,110,14,COMPLETE
43,43,0.8820881153251754,2024-05-30 22:27:07.530485,2024-05-30 22:27:53.256770,0 days 00:00:45.726285,gbdt,0.003852576388745266,100,16,COMPLETE
44,44,0.8779424556425393,2024-05-30 22:27:53.257760,2024-05-30 22:28:38.916916,0 days 00:00:45.659156,gbdt,0.002752049957842411,120,12,COMPLETE
45,45,0.8853310025081705,2024-05-30 22:28:38.918155,2024-05-30 22:29:25.414693,0 days 00:00:46.496538,gbdt,0.005523796683926445,90,18,COMPLETE
46,46,0.8873953873307829,2024-05-30 22:29:25.415931,2024-05-30 22:30:02.062601,0 days 00:00:36.646670,gbdt,0.008500254433696848,80,15,COMPLETE
47,47,0.865975864136539,2024-05-30 22:30:02.063901,2024-05-30 22:30:40.645836,0 days 00:00:38.581935,dart,0.0054203366385303705,110,10,COMPLETE
48,48,0.8862253299891059,2024-05-30 22:30:40.647137,2024-05-30 22:31:39.033440,0 days 00:00:58.386303,gbdt,0.0021574459055609756,130,16,COMPLETE
49,49,0.883405115992332,2024-05-30 22:31:39.034768,2024-05-30 22:32:23.300012,0 days 00:00:44.265244,gbdt,0.0010742123255586878,100,14,COMPLETE
