Loss,epoch,step
0.3466881513595581,0,448
0.00034939817851409316,1,897
0.00033422608976252377,2,1346
0.0003185879031661898,3,1795
0.0003073701518587768,4,2244
0.0002786847180686891,5,2693
0.00026676052948459983,6,3142
0.00023586164752487093,7,3591
0.0002272131241625175,8,4040
0.00021062829182483256,9,4489
0.0001714837271720171,10,4938
0.0001624824944883585,11,5387
0.00014113201177679002,12,5836
0.00012019306450383738,13,6285
0.00010767045023385435,14,6734
8.708590758033097e-05,15,7183
8.033202175283805e-05,16,7632
6.857235712232068e-05,17,8081
6.0291913541732356e-05,18,8530
4.697725671576336e-05,19,8979
0.3466881513595581,0,448
0.00034939817851409316,1,897
0.3466881513595581,0,448
0.00034939817851409316,1,897
0.3466881513595581,0,448
0.00034939817851409316,1,897
0.00033422608976252377,2,1346
0.0003185879031661898,3,1795
0.0003073701518587768,4,2244
0.0002786847180686891,5,2693
0.00026676052948459983,6,3142
0.00023586164752487093,7,3591
0.0002272131241625175,8,4040
0.00021062829182483256,9,4489
0.0001714837271720171,10,4938
0.0001624824944883585,11,5387
0.00014113201177679002,12,5836
0.00012019306450383738,13,6285
0.00010767045023385435,14,6734
8.708590758033097e-05,15,7183
8.033202175283805e-05,16,7632
6.857235712232068e-05,17,8081
6.0291913541732356e-05,18,8530
4.697725671576336e-05,19,8979
0.3466881513595581,0,448
0.00034939817851409316,1,897
0.00033422608976252377,2,1346
0.0003185879031661898,3,1795
0.0003073701518587768,4,2244
0.0002786847180686891,5,2693
0.00026676052948459983,6,3142
0.00023586164752487093,7,3591
0.0002272131241625175,8,4040
0.00021062829182483256,9,4489
0.0001714837271720171,10,4938
0.0001624824944883585,11,5387
0.00014113201177679002,12,5836
0.00012019306450383738,13,6285
0.00010767045023385435,14,6734
8.708590758033097e-05,15,7183
8.033202175283805e-05,16,7632
6.857235712232068e-05,17,8081
6.0291913541732356e-05,18,8530
4.697725671576336e-05,19,8979
